,lon,lat,h
0,112.71120706384988,16.665082058803083,26.870884401980568
1,112.71119988570736,16.66515875889424,27.428581041100564
2,112.71117754125848,16.66538250320104,25.63016539102057
3,112.71111637724576,16.665988738076692,25.65244288598057
4,112.71110513096576,16.666097088857015,25.983655513180565
5,112.7110515897699,16.666594808261433,23.98814343886057
6,112.71105178573283,16.666594780102454,24.560929167020568
7,112.71104523634985,16.666658625015376,25.358464829100566
8,112.71102931984868,16.66680568872976,24.703398777980567
9,112.71099064617204,16.667164437575376,22.952575178300567
10,112.71099070342288,16.667164429274724,23.119896178060568
11,112.71098052393258,16.667260744028432,22.785756874700567
12,112.71096104057156,16.667447124492522,22.455201332540568
13,112.710959212228,16.667466392304018,22.948418611980568
14,112.71095935818906,16.667466371395818,23.37508085902057
15,112.71095717855242,16.667485693404643,22.838194647580565
16,112.7109518208104,16.66753716304507,22.71699490174057
17,112.7109517386562,16.667537174955324,22.476889613900568
18,112.71094981147355,16.667556469092617,22.664628729500567
19,112.71092595505944,16.667788258586583,22.515198193820567
20,112.71091888467537,16.66785909943011,23.018129293420568
21,112.7108992175846,16.66804608567108,21.166877591900565
22,112.71089256356962,16.66811056201545,20.850329670780567
23,112.7108802279879,16.66823303038272,21.08623289606057
24,112.71087087918757,16.66832330221095,20.45914777838057
25,112.71086951750624,16.66833620144471,20.29081169038057
26,112.71086921797868,16.66834259607788,21.320977831820567
27,112.71086867894968,16.668349025119095,21.650968773100566
28,112.7108483715474,16.66854247641993,19.436933783020567
29,112.71083127879538,16.668709982251027,18.98143661574057
30,112.71083056549536,16.668716430156604,18.800182578940568
31,112.7108199623942,16.6688194447563,18.265495849660567
32,112.71080886469902,16.66892879242982,18.191170656140567
33,112.71080693178612,16.66894807657027,18.25361611014057
34,112.7107963354602,16.669050917369198,17.753945823020565
35,112.71079623606254,16.669050931770663,17.46344636390057
36,112.71078837602204,16.669127991371045,17.353765371020568
37,112.7107824151027,16.66918575930608,17.085480010460568
38,112.71078216506557,16.669192117132507,18.26125500342057
39,112.71076918689796,16.66931402419027,16.569673474940565
40,112.710758503422,16.669416536046175,15.890200555660567
41,112.710756715541,16.669435714684877,16.395057414140567
42,112.71075460679612,16.66945493719074,15.963450247900568
43,112.71075325574748,16.66946774180401,15.836233810780568
44,112.710736430396,16.669621361209927,12.554043318860568
45,112.710729184317,16.669691676643673,12.394136714540567
46,112.71071134277652,16.669870104058663,14.038683335100568
