latitude,longitude,photon height,confidence code
16.507133660866884,111.58384832708552,6.2316813,4
16.507145957197395,111.58384705765938,6.9503164,4
16.507145925830983,111.58384670357128,7.705307,4
16.507165345227673,111.58384518435253,6.5773535,4
16.50716534049924,111.58384513097495,6.6911654,4
16.50717185660028,111.58384507544356,5.3513017,4
16.507178220754938,111.58384331876395,7.6379747,4
16.507191238306458,111.58384300813144,5.3785496,4
16.507191184925265,111.58384241722209,6.638706,4
16.507191163455424,111.58384217485973,7.155474,4
16.507223507192016,111.58383901344119,6.574099,4
16.50723000639428,111.58383868757146,5.801231,4
16.50722997563599,111.58383835204799,6.5168514,4
16.50723640971626,111.5838372944373,7.303441,4
16.507242911335684,111.58383699101874,6.4809613,4
16.507242906984434,111.58383694190105,6.5856905,4
16.50724939926661,111.58383653596722,5.9810567,4
16.507255728052964,111.5838342655074,9.350831,4
16.507262305393827,111.58383481484857,6.7076883,4
16.50728823710137,111.58383257242244,5.590694,4
16.50728807166075,111.58383071663475,9.547849,4
16.507294679224895,111.58383154742528,6.2996984,4
16.507307652178707,111.58383044218458,5.70011,4
16.507314153293002,111.58383005010354,5.056875,4
16.507314157483904,111.58383009740912,4.9560094,4
16.507320633591952,111.58382941620178,4.928444,4
16.507327122190656,111.58382886923651,4.613849,4
16.50733358748121,111.58382805254692,4.8735824,4
16.507333581023,111.58382797964964,5.029015,4
16.50733359469072,111.58382813392446,4.7000675,4
16.507346561497386,111.58382690101043,4.363583,4
16.507346539675005,111.58382665469165,4.8887887,4
16.507346541406072,111.58382667423088,4.847127,4
16.507353035101474,111.58382615896511,4.4618936,4
16.507372465148197,111.5838239895462,4.6313624,4
16.507372473733202,111.58382408644722,4.4247484,4
16.50737246727763,111.58382401358169,4.5801134,4
16.50737890966141,111.58382290620013,5.4547977,4
16.507385422374547,111.58382257594671,4.671581,4
16.507391894255605,111.58382177924274,4.8822823,4
16.507398393543067,111.5838212864242,4.4443903,4
16.507411372236618,111.58382006050418,4.079069,4
16.50741137278136,111.5838200666526,4.0659595,4
16.507417841910986,111.58381921780433,4.3853574,4
16.507417837037263,111.58381916279514,4.502649,4
16.507417813803954,111.58381890056359,5.061785,4
16.50742434133984,111.5838187059682,3.9855838,4
16.50742430852032,111.58381833553986,4.7754197,4
16.507424332502136,111.58381860621861,4.198272,4
16.507430803149465,111.58381776467985,4.5009265,4
16.50743080509415,111.58381778662913,4.454126,4
16.507437292062765,111.5838171245761,4.373519,4
16.50743733618859,111.58381762261219,3.3115947,4
16.507437307013493,111.58381729332088,4.013717,4
16.50744377308266,111.5838163907736,4.4453545,4
16.507443782536278,111.58381649747348,4.2178464,4
16.507456766698684,111.58381526621926,3.8559911,4
